epoch,loss,val_loss
0,0.06062104253728381,0.01259261928498745
1,0.05903650363838738,0.01239191833883524
2,0.058496174597701824,0.012114763259887695
3,0.05768362181055743,0.011913427151739597
4,0.05672813141855466,0.011716969311237335
5,0.05616958854336511,0.01155984215438366
6,0.05480046457309714,0.011411688290536404
7,0.05389048763454946,0.011257505975663662
8,0.052597685196601296,0.011113801971077919
9,0.05058011384543908,0.010946967639029026
10,0.04902485091417261,0.010796952992677689
11,0.04656360465485383,0.010644251480698586
12,0.04397333099041134,0.010556196793913841
13,0.04021026902859483,0.01073214691132307
14,0.03572942581890589,0.010419022291898727
15,0.03181260353063836,0.010901311412453651
16,0.029162978335721967,0.011226147413253784
17,0.02664257097742794,0.011279636062681675
18,0.02415934400906896,0.011158342473208904
19,0.0228394977748394,0.010942986235022545
