,close,datetime,high,low,open,volume
0,143.5,1499058000000,144.88,143.5,144.88,14277848
1,144.09,1499230800000,144.79,142.7237,143.69,21569557
2,142.73,1499317200000,143.5,142.41,143.02,24128782
3,144.18,1499403600000,144.75,142.9,142.9,19201712
4,145.06,1499662800000,145.95,143.37,144.11,21090636
5,145.53,1499749200000,145.85,144.38,144.73,19781836
6,145.74,1499835600000,146.18,144.82,145.87,24884478
7,147.77,1499922000000,148.49,145.44,145.5,25199373
8,149.04,1500008400000,149.33,147.33,147.97,20132061
9,149.56,1500267600000,150.9,148.57,148.82,23793456
10,150.08,1500354000000,150.13,148.67,149.2,17868792
11,151.02,1500440400000,151.42,149.95,150.48,20922969
12,150.34,1500526800000,151.74,150.19,151.5,17243748
13,150.27,1500613200000,150.44,148.88,149.99,26252630
14,152.09,1500872400000,152.44,149.9,150.58,21493160
15,152.74,1500958800000,153.84,151.8,151.8,18853932
16,153.46,1501045200000,153.93,153.06,153.35,15780951
17,150.56,1501131600000,153.99,147.3,153.75,32476337
18,149.5,1501218000000,150.23,149.19,149.89,17213653
19,148.73,1501477200000,150.33,148.13,149.9,19845920
20,150.05,1501563600000,150.22,148.41,149.1,35368645
21,157.14,1501650000000,159.75,156.16,159.28,69936800
22,155.57,1501736400000,157.21,155.02,157.05,27097296
23,156.39,1501822800000,157.4,155.69,156.07,20559852
24,158.81,1502082000000,158.92,156.6701,157.06,21870321
25,160.08,1502168400000,161.83,158.27,158.6,36205896
26,161.06,1502254800000,161.27,159.11,159.26,26131530
27,155.32,1502341200000,160.0,154.63,159.9,40804273
28,157.48,1502427600000,158.5728,156.07,156.6,26257096
29,159.85,1502686800000,160.21,158.75,159.32,22122734
30,161.6,1502773200000,162.195,160.14,160.66,29465487
31,160.95,1502859600000,162.51,160.15,161.94,27671612
32,157.86,1502946000000,160.71,157.84,160.52,27940565
33,157.5,1503032400000,159.5,156.72,157.86,27428069
34,157.21,1503291600000,157.89,155.1101,157.5,26368528
35,159.78,1503378000000,160.0,158.02,158.23,21604585
36,159.98,1503464400000,160.47,158.88,159.07,19399081
37,159.27,1503550800000,160.74,158.55,160.43,19818918
38,159.86,1503637200000,160.56,159.27,159.65,25480063
39,161.47,1503896400000,162.0,159.93,160.14,25965972
40,162.91,1503982800000,163.12,160.0,160.1,29516910
