epoch,loss,val_loss
0,0.0038807534134572995,0.027623098443614456
1,0.0013441116435555745,0.018768731677125082
2,0.0010263114985056506,0.008346285118045122
3,0.0007579376846873368,0.005734702960558834
4,0.000768492854795698,0.0035563108131194286
5,0.0006277819921410527,0.0034614488668941535
6,0.0005842424188147573,0.002693778576653899
7,0.0009162954985459395,0.0024085224459792355
8,0.0005368309777466328,0.002206631294111618
9,0.0005203873287532351,0.001917687349427368
10,0.0006466459045703033,0.0018372566787312895
11,0.0005252139174762388,0.0022120025497912267
12,0.0005387873476198789,0.0018938229979856148
13,0.00047912820022357833,0.0020343933426696472
14,0.00048253867718474135,0.001949858541150391
15,0.0004997179625363746,0.001820896881727888
16,0.000501745016519244,0.0014848003269117703
17,0.0004907228047610185,0.0011666350673838826
18,0.0004812557229199228,0.00117804151324867
19,0.0004904692442138592,0.0016275387172657453
20,0.0005172088433401613,0.0010020147538590959
21,0.000515636373947581,0.001018801291980921
22,0.0005137351303222516,0.000999606659366382
23,0.0005417225820702159,0.0010850942933023253
24,0.0005646769049421878,0.001095565672788604
25,0.000556865877108698,0.0010705704319836271
26,0.0005508743203625734,0.0010440960668457184
27,0.0005933976003108764,0.0011007821107214572
28,0.0005395048257515877,0.0010724450210939573
29,0.0005404571413922156,0.0009522923695081682
