epoch,loss,val_loss
0,0.05976947614073973,0.0126284034922719
1,0.058514017262496054,0.012335062958300114
2,0.05778440270189415,0.012060869485139847
3,0.057165754123536104,0.011784779839217663
4,0.05558633637231063,0.01157194934785366
5,0.05458219365134616,0.011405681259930134
6,0.05321788655333769,0.011288006789982319
7,0.05082513673765147,0.011207913048565388
8,0.04872303212965455,0.011072088964283466
9,0.04607992768561577,0.011035875417292118
10,0.04265813995152712,0.011066766455769539
11,0.038984516929999435,0.011772175319492817
12,0.03456677608739804,0.012628668919205666
13,0.029792512397227043,0.012909951619803905
14,0.026434769549215323,0.013023716397583485
15,0.023517669301808757,0.012877097353339195
16,0.02132379060255035,0.011316326446831226
17,0.02052866929785951,0.011089545674622059
18,0.0190347728168811,0.011045776307582855
19,0.018939668737242326,0.010903460904955864
